total_batches_processed	total_train_loss	avg_train_loss	validation_loss
50	4.523790341219865	0.0028273689632624154	0.0011915903094632085
100	3.6765734179643914	0.0022978583862277445	0.0007114963002095465
150	1.8621389673789963	0.0011638368546118727	0.0003045163663045969
200	1.593453434528783	0.0009959083965804894	0.0005078972892079037
250	16.519618429476395	0.010324761518422747	0.00025703611245262434
300	1.4570344912353903	0.000910646557022119	0.00028332101865089496
50	4.4215797481592745	0.0013817436712997733	0.00042443597558303734
100	4.320256450097077	0.0013500801406553364	0.00012469366956793237
150	4.233390527544543	0.0013229345398576696	8.521677482349332e-05
50	5.093252710066736	0.0015916414718958548	0.0005313133799063508
100	1.7329221235122532	0.0005415381635975791	0.00014891162390995305
150	7.984468931797892	0.002495146541186841	0.00010818386726896279
200	7.997066652169451	0.0024990833288029536	0.0005336126694601262
250	1.4426710079424083	0.0004508346899820026	0.00015212042089842725
300	2.904135020915419	0.0009075421940360684	0.009827289224631386
350	1.512204141006805	0.00047256379406462656	0.00039969347744772676
400	4.922571834176779	0.0015383036981802434	0.00020836345975112637
450	4.704860934754834	0.0014702690421108855	0.00024839789621182716
500	7.9047532845288515	0.002470235401415266	5.7229454796470236e-05
550	3.204489060677588	0.0010014028314617462	0.00044616186460189056
600	1.4326249033911154	0.0004476952823097236	0.00035509042645571754
650	0.6586919648107141	0.00020584123900334816	0.00040317404636880383
700	0.34113171038916335	0.00010660365949661355	0.000271129025350092
750	0.24997489235829562	7.811715386196738e-05	6.790408287997707e-05
800	6.321648337354418	0.001975515105423256	6.503445201815339e-05
850	6.219918977003545	0.0019437246803136077	0.00011186659648956265
900	0.1473136941785924	4.603552943081013e-05	6.122002987467568e-05
950	0.13495524544850923	4.2173514202659135e-05	9.227677082890295e-05
1000	0.1343354969721986	4.1979842803812064e-05	7.612301387780463e-05
1050	0.09865288303990383	3.082902594996995e-05	6.741446859450661e-05
1100	0.11728126078378409	3.665039399493253e-05	6.381529378813866e-05
1150	0.09507861855308875	2.9712068297840232e-05	7.96155797161191e-05
1200	0.08239597045758273	2.5748740767994605e-05	6.783244252801523e-05
1250	0.08947445075682481	2.7960765861507754e-05	6.0294348259049e-05
1300	0.07033589266939089	2.197996645918465e-05	6.270844187383773e-05
1350	0.08234575571077585	2.5733048659617452e-05	6.318925215964555e-05
1400	0.06986187668371713	2.1831836463661602e-05	7.137428983696736e-05
1450	0.07693487712094793	2.4042149100296228e-05	5.0908358116430466e-05
1500	0.08133053508936428	2.5415792215426336e-05	4.4499399609776444e-05
1550	0.07713529403554276	2.410477938610711e-05	9.127207937353887e-06
1600	0.06362565120798536	1.9883016002495423e-05	9.229683058720184e-06
1650	0.06183053616950929	1.9322042552971654e-05	4.908515365684707e-05
1700	0.052588356942578685	1.643386154455584e-05	1.5417811795259695e-05
1750	0.06229126247490058	1.946601952340643e-05	1.2601641577703048e-05
1800	0.06148320920874539	1.9213502877732935e-05	2.319390511331676e-05
1850	6.03358897682665	0.001885496555258328	1.2729319897175628e-05
1900	0.04819921584930853	1.5062254952908915e-05	3.099102500527806e-05
1950	0.052018566193510196	1.6255801935471936e-05	1.5956085023560716e-05
2000	0.08835475425803452	2.7610860705635787e-05	1.5753847753785523e-05
2050	0.07370202818856342	2.303188380892607e-05	1.2649284434473884e-05
2100	0.08970869132554071	2.8033966039231473e-05	1.1298744988152976e-05
2150	0.07822884073539171	2.444651272980991e-05	4.653263864042856e-05
2200	0.07743254684464773	2.4197670888952416e-05	1.0167975136710084e-05
2250	0.05839605170876894	1.8248766158990294e-05	4.043927226859978e-06
2300	0.055049185043571924	1.7202870326116225e-05	2.7274682085476343e-05
2350	0.06620900201869517	2.0690313130842243e-05	2.7771113195740327e-05
2400	0.05807634553184471	1.8148857978701472e-05	4.343469539946909e-06
2450	0.05095594747308496	1.592373358533905e-05	2.2967818884467307e-05
2500	0.05717189095412323	1.786621592316351e-05	1.107471473460464e-05
2550	0.057599589685196406	1.7999871776623877e-05	6.717538198586226e-06
2600	0.06676374297330767	2.0863669679158647e-05	4.8097724095441664e-05
2650	0.06519952322923928	2.0374851009137273e-05	1.3173785964681883e-05
2700	0.046475212096993346	1.4523503780310421e-05	3.048471381816853e-06
2750	0.02615392041116138	8.173100128487932e-06	1.7888408815736057e-05
2800	0.027354635230040003	8.5483235093875e-06	0.00896301589550319
2850	0.03151552627696219	9.848601961550686e-06	1.9455933107792588e-05
